Device:  cuda:0
Net:  deeplab
Prepare data...batch_size: 2, img_size: (1024, 384), crop_offset: 690
Begin training...
[epoch-2 , iter-4]  iter loss:0.455  epoch_loss:0.229
[epoch-2 , iter-5]  iter loss:0.364  epoch_loss:0.256
[epoch-2 , iter-6]  iter loss:0.105  epoch_loss:0.230
[epoch-2 , iter-7]  iter loss:0.189  epoch_loss:0.225
[epoch-2 , iter-8]  iter loss:0.096  epoch_loss:0.208
[epoch-2 , iter-9]  iter loss:0.234  epoch_loss:0.211
[epoch-2 , iter-10]  iter loss:0.150  epoch_loss:0.205
[epoch-2 , iter-11]  iter loss:0.090  epoch_loss:0.195
[epoch-2 , iter-12]  iter loss:0.246  epoch_loss:0.199
[epoch-2 , iter-13]  iter loss:0.087  epoch_loss:0.190
[epoch-2 , iter-14]  iter loss:0.227  epoch_loss:0.193
[epoch-2 , iter-15]  iter loss:0.091  epoch_loss:0.186
[epoch-2 , iter-16]  iter loss:0.261  epoch_loss:0.191
[epoch-2 , iter-17]  iter loss:0.083  epoch_loss:0.185
[epoch-2 , iter-18]  iter loss:0.085  epoch_loss:0.179
[epoch-2 , iter-19]  iter loss:0.130  epoch_loss:0.176
[epoch-2 , iter-20]  iter loss:0.298  epoch_loss:0.183
[epoch-2 , iter-21]  iter loss:0.087  epoch_loss:0.178
[epoch-2 , iter-22]  iter loss:0.082  epoch_loss:0.174
[epoch-2 , iter-23]  iter loss:0.087  epoch_loss:0.170
[epoch-2 , iter-24]  iter loss:0.081  epoch_loss:0.166
[epoch-2 , iter-25]  iter loss:0.179  epoch_loss:0.167
[epoch-2 , iter-26]  iter loss:0.183  epoch_loss:0.167
[epoch-2 , iter-27]  iter loss:0.109  epoch_loss:0.165
[epoch-2 , iter-28]  iter loss:0.183  epoch_loss:0.166
[epoch-2 , iter-29]  iter loss:0.140  epoch_loss:0.165
[epoch-2 , iter-30]  iter loss:0.136  epoch_loss:0.164
[epoch-2 , iter-31]  iter loss:0.100  epoch_loss:0.162
[epoch-2 , iter-32]  iter loss:0.366  epoch_loss:0.168
[epoch-2 , iter-33]  iter loss:0.103  epoch_loss:0.166
[epoch-2 , iter-34]  iter loss:0.145  epoch_loss:0.166
[epoch-2 , iter-35]  iter loss:0.368  epoch_loss:0.171
[epoch-2 , iter-36]  iter loss:0.249  epoch_loss:0.174
[epoch-2 , iter-37]  iter loss:0.186  epoch_loss:0.174
[epoch-2 , iter-38]  iter loss:0.121  epoch_loss:0.173
[epoch-2 , iter-39]  iter loss:0.060  epoch_loss:0.170
[epoch-2 , iter-40]  iter loss:0.088  epoch_loss:0.168
[epoch-2 , iter-41]  iter loss:0.113  epoch_loss:0.166
[epoch-2 , iter-42]  iter loss:0.113  epoch_loss:0.165
[epoch-2 , iter-43]  iter loss:0.079  epoch_loss:0.163
[epoch-2 , iter-44]  iter loss:0.207  epoch_loss:0.164
[epoch-2 , iter-45]  iter loss:0.096  epoch_loss:0.162
[epoch-2 , iter-46]  iter loss:0.227  epoch_loss:0.164
[epoch-2 , iter-47]  iter loss:0.245  epoch_loss:0.166
[epoch-2 , iter-48]  iter loss:0.202  epoch_loss:0.166
[epoch-2 , iter-49]  iter loss:0.096  epoch_loss:0.165
[epoch-2 , iter-50]  iter loss:0.073  epoch_loss:0.163
[epoch-2 , iter-51]  iter loss:0.106  epoch_loss:0.162
[epoch-2 , iter-52]  iter loss:0.142  epoch_loss:0.162
[epoch-2 , iter-53]  iter loss:0.141  epoch_loss:0.161
[epoch-2 , iter-54]  iter loss:0.090  epoch_loss:0.160
[epoch-2 , iter-55]  iter loss:0.135  epoch_loss:0.159
[epoch-2 , iter-56]  iter loss:0.113  epoch_loss:0.159
[epoch-2 , iter-57]  iter loss:0.075  epoch_loss:0.157
[epoch-2 , iter-58]  iter loss:0.081  epoch_loss:0.156
[epoch-2 , iter-59]  iter loss:0.116  epoch_loss:0.155
[epoch-2 , iter-60]  iter loss:0.251  epoch_loss:0.157
[epoch-3 , iter-1]  iter loss:0.127  epoch_loss:0.127
[epoch-3 , iter-2]  iter loss:0.051  epoch_loss:0.089
[epoch-3 , iter-3]  iter loss:0.085  epoch_loss:0.088
[epoch-3 , iter-4]  iter loss:0.211  epoch_loss:0.119
[epoch-3 , iter-5]  iter loss:0.116  epoch_loss:0.118
[epoch-3 , iter-6]  iter loss:0.223  epoch_loss:0.136
[epoch-3 , iter-7]  iter loss:0.053  epoch_loss:0.124
[epoch-3 , iter-8]  iter loss:0.115  epoch_loss:0.123
[epoch-3 , iter-9]  iter loss:0.319  epoch_loss:0.144
[epoch-3 , iter-10]  iter loss:0.147  epoch_loss:0.145
[epoch-3 , iter-11]  iter loss:0.408  epoch_loss:0.169
[epoch-3 , iter-12]  iter loss:0.254  epoch_loss:0.176
[epoch-3 , iter-13]  iter loss:0.278  epoch_loss:0.184
[epoch-3 , iter-14]  iter loss:0.096  epoch_loss:0.177
[epoch-3 , iter-15]  iter loss:0.120  epoch_loss:0.174
[epoch-3 , iter-16]  iter loss:0.159  epoch_loss:0.173
[epoch-3 , iter-17]  iter loss:0.148  epoch_loss:0.171
